country_code,country,population,infant_mortality,gdp,birthrate,deathrate
AU,Australia ,20264082,4.69,29000,12.14,7.51
BR,Brazil ,188078227,29.61,7600,16.56,6.17
CA,Canada ,33098932,4.75,29800,10.78,7.8
CN,China ,1313973713,24.18,5000,13.25,6.97
CI,Cote d'Ivoire ,17654843,90.83,1400,35.11,14.84
EG,Egypt ,78887007,32.59,4000,22.94,5.23
IN,India ,1095351995,56.29,2900,22.01,8.18
MX,Mexico ,107449525,20.91,9000,20.69,4.74
NG,Nigeria ,131859731,98.8,900,40.43,16.94
US,United States ,298444215,6.5,37800,14.14,8.26
ZW,Zimbabwe ,12236805,67.69,1900,28.01,21.84
