date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,vaccination_provider_id
2020-12-14,CA,,5.0,,,,5.0,1
2020-12-15,CA,722.0,727.0,,,722.0,727.0,1
2020-12-16,CA,2298.0,3025.0,,,2298.0,3025.0,1
2020-12-17,CA,4254.0,7279.0,,,4254.0,7279.0,1
2020-12-18,CA,4017.0,11296.0,,,4017.0,11296.0,1
2020-12-19,CA,1071.0,12362.0,,0.0,1071.0,12362.0,1
2020-12-20,CA,861.0,13228.0,,,861.0,13228.0,1
2020-12-21,CA,7845.0,21073.0,,,7845.0,21073.0,1
2020-12-22,CA,5788.0,26861.0,,1.0,5789.0,26862.0,1
2020-12-23,CA,8685.0,35546.0,0.0,1.0,8685.0,35547.0,1
2020-12-24,CA,10198.0,45744.0,0.0,1.0,10198.0,45745.0,1
2020-12-25,CA,3047.0,48791.0,0.0,1.0,3047.0,48792.0,1
2020-12-26,CA,33794.0,46156.0,0.0,0.0,33794.0,46156.0,1
2020-12-27,CA,3611.0,52418.0,0.0,1.0,3611.0,52419.0,1
2020-12-28,CA,6622.0,59040.0,0.0,1.0,6622.0,59041.0,1
2020-12-29,CA,13015.0,72055.0,1.0,2.0,13016.0,72057.0,1
2020-12-30,CA,13440.0,85495.0,0.0,2.0,13440.0,85497.0,1
2020-12-31,CA,12945.0,98440.0,0.0,2.0,12945.0,98442.0,1
2021-01-01,CA,6961.0,105401.0,1.0,3.0,6962.0,105404.0,1
2021-01-02,CA,36356.0,82512.0,0.0,0.0,36356.0,82512.0,1
2021-01-03,CA,5208.0,115253.0,0.0,3.0,5208.0,115256.0,1
2021-01-04,CA,23602.0,138855.0,0.0,3.0,23602.0,138858.0,1
2021-01-05,CA,17822.0,156677.0,3.0,6.0,17825.0,156683.0,1
2021-01-06,CA,27647.0,184324.0,442.0,448.0,28089.0,184772.0,1
2021-01-07,CA,36164.0,220488.0,976.0,1424.0,37140.0,221912.0,1
2021-01-08,CA,40598.0,261086.0,1270.0,2694.0,41868.0,263780.0,1
2021-01-09,CA,134833.0,217345.0,4521.0,4521.0,139354.0,221866.0,1
2021-01-10,CA,23492.0,319545.0,16.0,3952.0,23508.0,323497.0,1
2021-01-11,CA,38333.0,357878.0,11.0,3963.0,38344.0,361841.0,1
2021-01-12,CA,29658.0,387536.0,1553.0,5516.0,31211.0,393052.0,1
2021-01-13,CA,22543.0,410079.0,7770.0,13286.0,30313.0,423365.0,1
2021-01-14,CA,39570.0,449649.0,3070.0,16356.0,42640.0,466005.0,1
2021-01-15,CA,46416.0,496065.0,3057.0,19413.0,49473.0,515478.0,1
2021-01-16,CA,347576.0,564921.0,22227.0,26748.0,369803.0,591669.0,1
2021-01-17,CA,27337.0,560100.0,1258.0,21855.0,28595.0,581955.0,1
2021-01-18,CA,40560.0,600660.0,735.0,22590.0,41295.0,623250.0,1
2021-01-19,CA,37135.0,637795.0,2250.0,24840.0,39385.0,662635.0,1
2021-01-20,CA,30190.0,667985.0,13152.0,37992.0,43342.0,705977.0,1
2021-01-21,CA,37294.0,705279.0,5800.0,43792.0,43094.0,749071.0,1
2021-01-22,CA,31691.0,736970.0,6336.0,50128.0,38027.0,787098.0,1
2021-01-23,CA,210579.0,775500.0,32546.0,59294.0,243125.0,834794.0,1
2021-01-24,CA,12017.0,772089.0,2659.0,57169.0,14676.0,829258.0,1
2021-01-25,CA,15212.0,787301.0,8237.0,65406.0,23449.0,852707.0,1
2021-01-26,CA,21438.0,808739.0,8219.0,73625.0,29657.0,882364.0,1
2021-01-27,CA,13568.0,822307.0,9550.0,83175.0,23118.0,905482.0,1
2021-01-28,CA,15079.0,837386.0,9939.0,93114.0,25018.0,930500.0,1
2021-01-29,CA,12334.0,849720.0,9442.0,102556.0,21776.0,952276.0,1
2021-01-30,CA,83740.0,859240.0,54355.0,113649.0,138095.0,972889.0,1
2021-01-31,CA,2617.0,858979.0,2556.0,113624.0,5173.0,972603.0,1
2021-02-01,CA,13729.0,872708.0,4583.0,118207.0,18312.0,990915.0,1
2021-02-02,CA,6681.0,879389.0,4934.0,123141.0,11615.0,1002530.0,1
2021-02-03,CA,4314.0,883703.0,9353.0,132494.0,13667.0,1016197.0,1
2021-02-04,CA,7022.0,890725.0,12555.0,145049.0,19577.0,1035774.0,1
2021-02-05,CA,10248.0,900973.0,13325.0,158374.0,23573.0,1059347.0,1
2021-02-06,CA,42162.0,901402.0,60130.0,173779.0,102292.0,1075181.0,1
2021-02-07,CA,6063.0,914887.0,7792.0,179929.0,13855.0,1094816.0,1
2021-02-08,CA,10466.0,925353.0,10951.0,190880.0,21417.0,1116233.0,1
2021-02-09,CA,9446.0,934799.0,17359.0,208239.0,26805.0,1143038.0,1
2021-02-10,CA,9687.0,944486.0,20237.0,228476.0,29924.0,1172962.0,1
2021-02-11,CA,12648.0,957134.0,21079.0,249555.0,33730.0,1206692.0,1
2021-02-12,CA,14053.0,971187.0,23421.0,272976.0,37476.0,1244168.0,1
2021-02-13,CA,71658.0,973060.0,133590.0,307369.0,205248.0,1280429.0,1
2021-02-14,CA,2355.0,986212.0,13881.0,308220.0,16236.0,1294437.0,1
2021-02-15,CA,1719.0,987931.0,8932.0,317152.0,10651.0,1305088.0,1
2021-02-16,CA,8548.0,996479.0,17410.0,334562.0,25958.0,1331046.0,1
2021-02-17,CA,4936.0,1001415.0,16519.0,351081.0,21455.0,1352501.0,1
2021-02-18,CA,7781.0,1009196.0,19759.0,370840.0,27540.0,1380041.0,1
2021-02-19,CA,25779.0,1034975.0,24714.0,395554.0,50495.0,1430536.0,1
2021-02-20,CA,113441.0,1086501.0,127898.0,435267.0,241339.0,1521768.0,1
2021-02-21,CA,28779.0,1097797.0,12527.0,425863.0,41307.0,1523672.0,1
2021-02-22,CA,30007.0,1127804.0,32216.0,458079.0,62224.0,1585896.0,1
2021-02-23,CA,30756.0,1158560.0,18893.0,476972.0,49649.0,1635545.0,1
2021-02-24,CA,31813.0,1190373.0,14764.0,491736.0,46577.0,1682122.0,1
2021-02-25,CA,41747.0,1232120.0,17118.0,508854.0,58865.0,1740987.0,1
2021-02-26,CA,55538.0,1287658.0,12876.0,521730.0,68414.0,1809401.0,1
2021-02-27,CA,294902.0,1381403.0,103132.0,538399.0,398034.0,1919802.0,1
2021-02-28,CA,40243.0,1382137.0,5719.0,535548.0,45962.0,1917698.0,1
2021-03-01,CA,46349.0,1428486.0,13436.0,548984.0,59785.0,1977483.0,1
2021-03-02,CA,64871.0,1493357.0,10688.0,559672.0,75559.0,2053042.0,1
2021-03-03,CA,68124.0,1561481.0,7091.0,566763.0,75215.0,2128257.0,1
2021-03-04,CA,74460.0,1635941.0,5257.0,572020.0,79717.0,2207974.0,1
2021-03-05,CA,83035.0,1718976.0,3565.0,575585.0,86600.0,2294574.0,1
2021-03-06,CA,473388.0,1854791.0,35262.0,573661.0,508650.0,2428452.0,1
2021-03-07,CA,55571.0,1845928.0,1646.0,579691.0,57217.0,2425632.0,1
2021-03-08,CA,76624.0,1922552.0,10045.0,589736.0,86669.0,2512301.0,1
2021-03-09,CA,66766.0,1989318.0,4109.0,593845.0,70877.0,2583178.0,1
2021-03-10,CA,74079.0,2063397.0,5416.0,599261.0,79495.0,2662673.0,1
2021-03-11,CA,93794.0,2157191.0,5078.0,604339.0,98872.0,2761545.0,1
2021-03-12,CA,108914.0,2266105.0,3493.0,607832.0,112407.0,2873952.0,1
2021-03-13,CA,645233.0,2500024.0,24103.0,597764.0,669336.0,3097788.0,1
2021-03-14,CA,91076.0,2460538.0,1954.0,612782.0,93030.0,3073337.0,1
2021-03-15,CA,119432.0,2579970.0,5387.0,618169.0,124819.0,3198156.0,1
2021-03-16,CA,117411.0,2697381.0,4514.0,622683.0,121927.0,3320083.0,1
2021-03-17,CA,135930.0,2833311.0,5482.0,628165.0,141413.0,3461496.0,1
2021-03-18,CA,151938.0,2985249.0,5680.0,633845.0,157618.0,3619114.0,1
2021-03-19,CA,158927.0,3144176.0,6545.0,640390.0,165472.0,3784586.0,1
2021-03-20,CA,902749.0,3402773.0,32620.0,630384.0,935369.0,4033157.0,1
2021-03-21,CA,87391.0,3360361.0,3201.0,648741.0,90592.0,4009123.0,1
2021-03-22,CA,142924.0,3503285.0,3441.0,652182.0,146365.0,4155488.0,1
2021-03-23,CA,122225.0,3625510.0,4640.0,656822.0,126867.0,4282355.0,1
2021-03-24,CA,167808.0,3793318.0,5104.0,661926.0,172913.0,4455268.0,1
